용어번호,용어설명,용어명,요약
441,농업진흥지역 지정은 「국토의 계획 및 이용에 관한 법률」에 따른 녹지지역;관리지역;농림지역 및 자연환경보전지역을 대상으로 하며(다만 특별시의 녹지지역은 제외) 다음 각 호의 용도구역으로 구분하여 지정할 수 있다.        농업진흥구역 : 농업의 진흥을 도모하여야 하는 지역으로서 농림축산식품부장관이 정하는 규모로 농지가 집단화되어 농업 목적으로 이용할 필요가 있는 지역    ;;; 가. 농지조성사업 또는 농업기반정비사업이 시행되었거나 시행 중인 지역으로서 농업용으로 이용하고 있거나 이용할 토지가 집단화되어 있는 지역    ;;; 나. 가목에 해당하는 지역 외 농업용으로 이용하고 있는 토지가 집단화되어 있는 지역            농업보호구역 : 농업진흥구역의 용수원 확보 등 농업 환경을 보호하기 위하여 필요한 지역    농업진흥지역으로 지정되면 과거의 절대농지와 같이 많은 개발규제가 적용되나 농지 및 농업시설의 개량;정비 농어촌도로;농산물유통시설의 확충 자금지원 조세경감 등 많은 혜택을 받게 된다.;■;절대농지와 상대농지는 지금은 폐지된 「농지의 보전 및 이용에 관한 법률」에 의한 개념으로 1992년 12월부터 「농어촌발전특별조치법」에 의한 농업진흥지역제도의 시행으로 법적으로는 없어진 용어이다. 현재 농업진흥지역의 지정은 「농지법」에 의해 실시된다. 「농지법」에 의한 농업진흥지역;은 절대농지;와 농업진흥지역 밖;은 상대농지;와 유사한 개념이라고 할 수 있다. 차이점은 농업진흥지역은 권역별 지정으로 비농지도 일부 포함할 수 있고 과거 절대농지 상대농지는 농지의 필지별로 지정되었다.;,농업진흥지역,농지법에 의해 농지를 효율적으로 이용하고 보전하기 위하여 지정된 지역을 말한다.
751,도로의 개설과 유지 상하수도 공원 등의 도시계획사업에 필요한 비용을 충당하기 위하여 도시계획구역내의 토지 및 건축물소유자에게 부과하는 목적세를 말한다. 과세표준은 시가표준액이며 세율은 0 ．2%로 재산세 및 종합토지세를 부과할 때 함께 고지하고 있다.,도시계획세(都市計劃稅),
794,주로 GIS에서 사용하는 용어로 하나의 주제에 관한 공간자료를 포함하고 있는 수치지도층을 말한다.,레이어(layer),
922,1983년 유엔총회의 결의에 따라 구성된 위원회로 그 임무는 2000년대를 향한 장기 지구환경보전전략을 수립하는 것이었다. 이 위원회 설립 당시의 노르웨이 여수상 브룬트란트(Brundtland)가 위원장이 되고 세계환경전문가가 위원이 되어 작업한 결과를 종합한 보고서 &#39;우리들의 미래(Our Common Future)&#39;가 발간되었다. 이 보고서는 지속가능한 개발(sustainable development)의 개념을 정리한 것으로 유명하다.,세계환경?개발위원회(WCED; World Commission on Environment and Development),
514,「공간정보의 구축 및 관리 등에 관한 법률」에서는 필지를 구획되는 토지의 등록단위;로 정의하고 있으며 1개의 필지에 1개의 지번과 지목이 부여된다. 한 개의 필지는 분할하여 두개의 필지로 등록할 수도 있고 소유권이 같은 두개의 필지를 합병하여 하나의 필지로 등록할 수도 있다.1개의 필지로 합병하여 등록할 수 있는 기준은 다음과 같다.    지번부여지역안의 토지로서 소유자와 용도가 동일하고 지반이 연속된 토지    다음 각호의 용도가 다른 토지;를 주된 용도의 토지;에 편입하는 경우(편입하고자 하는 토지의 지목이 대;인 경우와 토지면적이 주된 용도의 토지면적의 10%를 초과하거나 330㎡를 초과하는 경우는 제외)    ;;; 가. 주된 용도의 토지의 편의를 위하여 설치된 도로;구거 등의 부지    ;;; 나. 주된 용도의 토지에 접속되거나 주된 용도의 토지로 둘러싸인 다른 용도로 사용되고 있는 토지※ 분할 합병;;; 분할 : 지적공부에 등록된 1필지를 2필지 이상으로 나누어 등록하는 것;;; 합병 : 지적공부에 등록된 2필지 이상을 1필지로 합하여 등록하는 것,필지,구분되는 경계를 가지는 토지의 등록단위로서 하나의 지번을 가지고 지적공부에 등록되는 토지의 기본 단위를 말한다.
1275,경제적 개념으로 일단의 다른 토지와 구별되어 가격수준이 비슷한 토지군을 말한다. 이런 점에서 권리를 구분하기 위하여 법적인 효력을 갖고 있는 필지와 다르다. 획지 구분은 인위적으로 하는 방법 산?하천?언덕 등 특이한 지형을 경계로 자연적 구분을 하는 방법 지목?지번 등 법적?행정적으로 구분하는 3가지 방법이 있다.,획지(劃地 lot),
706,지목이 대(垈)인 토지로서 영구적인 건축물이 건축되지 않은 대지를 말한다.,나대지(裸垈地 unused housing site),
724,님비현상은 말 그대로 내 집 내가 살고 있는 동네 내가 속해 있는 지역에는 절대로 혐오시설을 둘 수 없다는 증후군을 나타내는 말이다. 여기서 주민이 원치 않는 혐오시설이란 핵발전소 쓰레기 매립장 공해배출 공장 고속도로 공항 감옥 정신병원 등 종류가 매우 광범위하다. 이러한 시설들은 어딘가에 반드시 입지해야 할 시설로 필요성은 누구나 인정하나 내가 살고 있는 주변에는 설치를 원치 않는다는 지역이기주의의 산물이라고 볼 수 있다.,님비현상(NIMBYs; not in my back yard syndrome),
755,지역간 고속도로와는 달리 도시고속도로는 도시 내 교통의 흐름을 원활히 하기 위해 설치되는 신호등 없는 자동차전용도로로 시속 50km 이상으로 주행할 수 있는 도로이다. 서울시의 올림픽대로 강변북로 내부순환도로가 이에 해당된다.☞도로',도시고속도로(都市高速道路 urban expressway),
301,;레인시티란 빗물을 이용하여 물공급의 안정성을 높이고 에너지 사용을 줄이는 등 빗물을 다양한 목적으로 활용하는 친환경적인 도시를 말한다. 우리나라에서는 서울시 수원시 등 여러 지방자치단체에서 <a class='LINK' href='javascript:openWordLink('레인시티');'>레인시티</a>의 개념을 도입한 다양한 도시시설사업을 추진하고 있다.,레인시티,
797,영국 뉴라나크 솜공장의 공장주로서 1816년 농업과 공업을 결합시킨 이상 공업촌을 제안하였던 공상적 사회주의자이다. 이 계획에서 오웬은 1000~1500에이커의 정사각형 지역에 1200명의 노동자를 수용하고 각자에게는 주변농지를 1에이커씩 주어 실업이 없는 자급자족적 공동생활을 할 수 있도록 하였다. 주거구역의 중심에는 큰 땅을 공동으로 확보해서 여기에 어린이용 숙사 공동 취사장 학교 등 많은 공동시설을 배치하고 주거구역 바깥쪽에는 공장 및 작업장을 배치하였다.,로버트 오웬(Robert Owen),
829,교통운영체계관리(TSM)의 한 기법으로 버스를 다른 교통과 분리시킴으로써 상호간의 마찰 방지를 목적으로 설치하며 대중교통의 효율을 높이는 방안이다. 가로변쪽 차선을 버스에 제공하는 가로변 버스전용차선(curb bus lane)과 기존 도로의 중앙차선에 울타리나 가드레일을 설치한 중앙 버스전용차선(median bus lane)이 있다. 중앙 버스전용차선은 비용이 많이 들고 일반차선의 용량이 감소하는 단점이 있으나 효과가 확실하고 일반차량의 마찰이 방지되어 위반차량이 없는 장점이 있다.☞교통운영체계관리(TSM)',버스전용차선(bus only lane),
863,관리처분계획의 인가에 따라 정해진 새로운 건축시설 및 대지를 준공검사를 할 때에 확정측량 등으로 공부상 변경을 하고 이를 확정하는 것을 말한다. 시행자는 이를 고시하여야 하며 분양처분에 의하여 분양받은 건축시설 등에 대한 권리의 확정도 동시에 이루어진다.,분양처분(分讓處分),
1297,&#65378;노인복지법&#65379;에 의하여 노인주거복지시설은 다음의 시설로 한다. 1. 양로시설 : 노인을 입소시켜 무료 또는 저렴한 요금으로 급식 기타 일상생활에 필요한 편의를 제공함을 목적으로 하는 시설 2. 실비양로시설 : 노인을 입소시켜 저렴한 요금으로 급식 기타 일상생활에 필요한 편의를 제공함을 목적으로 하는 시설 3. 유료양로시설 : 노인을 입소시켜 급식 기타 일상생활에 필요한 편의를 제공하고 이에 소요되는 일체의 비용을 입소한 자로부터 수납하여 운영하는 시설 4. 실비노인복지주택 : 보건복지부장관이 정하는 일정소득 이하의 노인에게 저렴한 비용으로 분양 또는 임대 등을 통하여 주거의 편의 ? 생활지도 ? 상담 및 안전관리 등 일상생활에 필요한 편의를 제공함을 목적으로 하는 시설 5. 유료노인복지주택 : 노인에게 유료로 분양 또는 임대 등을 통하여 주거의 편의 ? 생활지도 ? 상담 및 안전관리 등 일상생활에 필요한 편의를 제공함을 목적으로 하는 시설,노인주거복지시설(老人住居福祉施設),
1750,,대지내조경,대지안의 조경으로서 일반대중에게 상시 개방하고 가로와 연접하여 보행자들의 휴게공간 및 대기공간을 제공하기 위한 조경공간을 말한다.
759,「국토의계획및이용에관한법률」에 의하여 특별시장?광역시장?시장 또는 군수는 5년마다 관할구역의 도시관리계획에 대하여 그 타당성 여부를 전반적으로 재검토하여 이를 정비하여야 하며 도시계획시설의 결정 후 10년 이내에 당해 도시계획시설의 설치에 관한 도시계획시설사업이 시행되지 아니한 때에는 당해 도시계획시설결정의 타당성을 검토하여 그 결과를 도시관리계획에 반영하도록 규정하고 있다.,도시관리계획의 정비(都市管理計劃의 整備),
801,과밀상태의 도시에서 주택용보다는 사무실용으로 만들어진 초고층건물을 호칭하는 말이다. 탑이나 기둥은 여기에 포함되지 않으며 대표적인 것으로는 뉴욕 맨해탄지구의 엠파이어스테이트빌딩(381m) 클라이슬러 빌딩(318.8m) 등이 있으며 이러한 건물군들을 통상 마천루라고 한다.,마천루(摩天樓 skyscraper),
802,주로 주택단지에 설치되는 도로의 유형으로 통과교통을 배제하여 소음 및 안전을 제고시켜 단지 주민을 위해 사용하는 기법으로 보통 도로의 끝 부분은 차량이 회전하여 나갈 수 있도록 원형의 형태를 이루고 있다.,막힌 도로(cul-de-sac),
1094,일반적으로 재개발사업은 기존에 개발된 지역이 시간적?공간적 변화에 따라 그 기능을 상실하고 불량화되었을 때 도시의 불량지구개선 안전하고 위생적인 환경의 마련 도시기능의 부활 등을 기하고자 실시하는 사업을 말한다. 법적인 의미로는 정비구역으로 지정된 지역 안에서 토지의 합리적이고 효율적인 이용과 도시기능을 회복하기 위하여 「도시및주거환경정비법」이 정하는 바에 따라 시행하는 건축물 및 그 부지의 정비 그리고 대지의 조성 및 공공시설의 정비에 관한 사업과 이에 부대되는 사업을 말한다.,주택재개발사업(住宅再開發事業),
738,도시와 농촌의 역할과 기능을 상호보완적으로 연계 개발하여 조화를 이루도록 하는 지역개발전략이다. 1995년에 행정구역상 시(市)에 해당하는 도시지역과 군(郡)에 해당하는 농촌지역을 통합하는 시?군통합은 도농통합의 맥락에서 추진된 행정구역개편이며 이렇게 하여 통합된 행정구역을 도농복합형태의 시라고 하며 흔히 도농통합시라고 부른다.,도농통합(都農統合),
762,도시의 장기적인 발전방향과 도시관리계획의 지침을 제시하고자 수립하는 종합계획을 말한다. 따라서 질적?공간적 측면과 사회?경제적 측면을 포괄한 종합계획으로서 「국토의계획및이용에관한법률」에서는 20년을 단위로 도시기본계획의 수립을 규정하며 다음의 사항 등에 대한 정책방향을 정하도록 되어 있다.① 지역적 특성 및 계획의 방향?목표에 관한 사항.② 공간구조 생활권의 설정 및 인구의 배분에 관한 사항.③ 토지의 이용 및 개발에 관한 사항.④ 토지의 용도별 수요 및 공급에 관한 사항.⑤ 환경의 보전 및 관리에 관한 사항.⑥ 기반시설에 관한 사항.⑦ 공원?녹지에 관한 사항.⑧ 경관에 관한 사항 등.',도시기본계획(都市基本計劃),
764,신도시 개념에 기초하여 대도시 내부에 개발되는 일단의 시가지를 말한다. 대도시로의 인구 및 기능의 집중으로 공간적 수요 증대와 특히 도심 및 부도심 등 중심지로의 집중현상은 교통혼잡의 가중 공급처리시설 용량의 포화 등 여러 가지 도시문제를 야기시킨다. 이의 대책으로서 도시내에 신도시 개발이 필요하게 된다. 도시내 신도시는 주택의 확대 공급뿐만 아니라 도시공간구조상 중심지 기능을 수행하는 각종기능을 분산시킴으로써 집중으로 인한 외부 불경제를 완화하고 지역의 균형발전을 도모하는 차원에서 효과를 갖는다고 할 수 있다.,도시내 신도시(都市內 新都市 new town in town),
1004,도시미화운동의 이념을 실천한 사람으로서 1858년 현상공모에서 당선된 뉴욕 센트럴파크를 비롯하여 여러 도시의 공원을 설계했다. 특히 시카고 세계무역박람회에서 보자르(Beaux-Art)식 스타일을 채택하여 긴 가로수 길과 건물표면을 백색으로 빛나게 처리하였으며 자유분방한 동선배치를 선보였던 인물이다.,옴스테드(Olmsted Fredrick),
731,☞슈퍼블럭,대가구(大街區 super block),
743,차량이나 보행자를 질서있게 이동시킬 목적으로 교통섬이나 노면표시를 이용하여 상충하는 교통흐름을 분리시키거나 규제하여 명확한 통행경로를 지시해 주는 것을 말한다.,도류화(島流化),
809,「도시공원법」에 규정에 의하면 묘지이용자에게 휴식 등을 제공하기 위하여 일정한 구역내에 「장사등에관한법률」에 의한 묘지와 공원시설을 혼합하여 설치한 공원을 말한다.☞ 도시공원 ',묘지공원(墓地公園),
896,물의 오염도를 표시하는 지표의 하나로 수중의 유기물이 분해하는데 있어 그 미생물이 꼭 필요로 하는 산소의 요구량을 말한다.유기물이 많을수록 이를 산화하여 분해하는데 필요한 산소의 양은 많아지게 되므로 BOD 수치는 커지게 된다. 따라서 BOD가 크다는 것은 물속에 유기물이 많이 포함되어 있다는 의미이며 그만큼 오염된 물이라는 뜻이 된다. 단위는 ppm mg/ℓ을 쓴다.',생물학적산소요구량(BOD; biological oxygen demand),
940,「도시계획시설의결정?구조및설치기준에관한규칙」에서 수질오염방지시설은 국가 및 지방자치단체가 설치하는 「수질환경보전법」의 규정에 의한 폐수종말처리시설과 시장?군수?구청장 또는 대행업자가 설치하는 「오수?분뇨및축산폐수의처리에관한법률」의 규정에 의한 분뇨처리시설 및 축산폐수처리시설을 말한다. 수질오염방지시설은 전용공업?일반공업?준공업?생산녹지?자연녹지?생산관리?계획관리?농림지역에 한하여 결정한다.,수질오염방지시설(水質汚染防止施設),
1633,태풍;홍수 등 자연현상으로 인한 재난으로부터 국토를 보존하고 국민의 생명;신체 및 재산과 주요기간시설을 보호하기 위하여 제정된 「자연재해대책법」에서는 재해발생 우려가 있는 지역에 대해 시장;군수;구청장이 자연재해위험개선지구로 지정 고시하여 관리하도록 하고 있다.「자연재해대책법」에서는 자연재해위험개선지구로 지정;고시된 지역 내에서 재해예방을 위해 필요한 경우 건축;형질변경 등의 행위를 해당 지방자치단체의 조례로 정하여 제한할 수 있으며 재산권 피해를 최소화하기 위해 건축;형질변경 등의 행위를 제한하는 자연재해위험개선지구는 우선적으로 정비하도록 규정하고 있다.또한 자연재해위험개선지구 정비사업 시행 등으로 재해위험이 해소된 경우에는 관계 전문가의 의견을 수렴하여 자연재해위험개선지구 지정을 해제하고 그 결과를 고시해야 한다.자연재해위험개선지구로 지정된 지역에 대해 당해 시장;군수;구청장은 자연재해위험개선지구를 관할하는 관계기관 또는 해당 지구에 속해있는 시설물의 소유자;점유자 또는 관리인에게 재해예방에 필요한 한도 안에서 점검;정비 등 필요한 조치를 취할 것을 요청하거나 명할 수 있다. 재해예방에 필요한 조치를 취하도록 요청 또는 명령을 받은 관계기관 또는 관계인은 필요한 조치를 취하고 그 결과를 시장;군수;구청장에게 통보하여야 한다.또한 집단적인 인명과 재산 피해가 우려되는 지역 중에서 소유자 또는 점유자 등의 자력에 의한 정비가 불가능한 지구 침수;산사태;급경사지 붕괴 등의 우려가 있는 지역으로 시장;군수;구청장이 방재목적상 특별히 정비가 필요하다고 인정하는 지구에 대해서는 직권으로 조치를 취하거나 소유자에게 그 조치에 소요되는 비용의 일부를 보조할 수 있다.;자연재해위험개선지구가 지정되면 해당 시장;군수;구청장은 자연재해위험개선지구 정비계획을 5년마다 수립하고 시;도지사에게 제출하여야 하며 시;도지사는 정비계획을 제출받아 다시 국민안전처장관에게 제출해야 한다.;※ 자연재해위험개선지구 정비계획자연재해위험개선지구 정비계획은 그 지역에 관한 개발계획등과의 관련성 등을 검토;반영하여 다음의 사항을 포함시켜 작성해야 한다.    자연재해위험개선지구의 정비에 관한 기본방침    자연재해위험개선지구 지정현황 및 연도별 지구정비에 관한 사항    재해예방 및 자연재해위험개선지구의 점검;관리에 관한 사항    그 밖에 자연재해위험개선지구의 정비 등에 관하여 대통령령이 정하는 사항자연재해위험지구 정비계획이 수립되면 시장;군수;구청장은 이에 따라 매년 다음 연도의 자연재해위험개선지구 사업계획을 수립하여 시;도지사에게 제출하여야 한다. 마찬가지로 시;도지사는 국민안전처장관에게 보고하여야 한다.,자연재해위험개선지구,상습침수지역 산사태위험지역 등 지형적인 여건 등으로 인하여 재해가 발생할 우려가 있는 지역을 관리하기 위해 「자연재해대책법」에 의해 지정되는 지구이다.
